Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
THCBW,Tuscan Holdings Corp.,2.08,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thcbw,
THCA,Tuscan Holdings Corp. II,10.3,$226.47M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thca,
THCAU,Tuscan Holdings Corp. II,10.17,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thcau,
THCAW,Tuscan Holdings Corp. II,0.86,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/thcaw,
TWCT,TWC Tech Holdings II Corp.,9.99,$749.25M,2020,Finance,Business Services,https://old.nasdaq.com/symbol/twct,
TWCTU,TWC Tech Holdings II Corp.,10.22,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/twctu,
TWCTW,TWC Tech Holdings II Corp.,1.12,n/a,2020,Finance,Business Services,https://old.nasdaq.com/symbol/twctw,
TWIN,"Twin Disc, Incorporated",6.31,$85.61M,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/twin,
TWST,Twist Bioscience Corporation,114.67,$5.12B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/twst,
TYME,"Tyme Technologies, Inc.",1.01,$131.47M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/tyme,
USCR,"U S Concrete, Inc.",37.13,$619.17M,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/uscr,
USEG,U.S. Energy Corp.,4.05,$11.81M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/useg,
GROW,"U.S. Global Investors, Inc.",3.72,$56.12M,n/a,Finance,Investment Managers,https://old.nasdaq.com/symbol/grow,
USAU,U.S. Gold Corp.,11.32,$41.32M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/usau,
USWS,"U.S. Well Services, Inc.",0.41,$30.37M,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/usws,
USWSW,"U.S. Well Services, Inc.",0.0327,n/a,2017,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/uswsw,
UCL,uCloudlink Group Inc.,9.31,$262.12M,2020,Consumer Services,Telecommunications Equipment,https://old.nasdaq.com/symbol/ucl,
UK,Ucommune International Ltd ,7.62,n/a,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/uk,
UKOMW,Ucommune International Ltd ,0.23,n/a,2019,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ukomw,
UFPI,"UFP Industries, Inc.",54.04,$3.31B,1993,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/ufpi,
UFPT,"UFP Technologies, Inc.",46,$344.76M,1993,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/ufpt,
ULTA,"Ulta Beauty, Inc.",281.29,$15.84B,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/ulta,
UCTT,"Ultra Clean Holdings, Inc.",30.85,$1.25B,2004,Technology,Semiconductors,https://old.nasdaq.com/symbol/uctt,
RARE,Ultragenyx Pharmaceutical Inc.,122.42,$8.1B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/rare,
ULBI,Ultralife Corporation,6.87,$109.43M,1992,Miscellaneous,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ulbi,
UMBF,UMB Financial Corporation,70.62,$3.39B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/umbf,
UMPQ,Umpqua Holdings Corporation,14.57,$3.21B,n/a,Finance,Savings Institutions,https://old.nasdaq.com/symbol/umpq,
UNAM,Unico American Corporation,5,$26.53M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/unam,
LATN,Union Acquisition Corp. II,10.03,$250.75M,2019,Finance,Business Services,https://old.nasdaq.com/symbol/latn,
LATNU,Union Acquisition Corp. II,10.57,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/latnu,
LATNW,Union Acquisition Corp. II,0.64,n/a,2019,Finance,Business Services,https://old.nasdaq.com/symbol/latnw,
UNB,"Union Bankshares, Inc.",27.05,$121.06M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/unb,
QURE,uniQure N.V.,47.25,$2.1B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/qure,
UAL,"United Airlines Holdings, Inc.",45.3,$13.26B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/ual,
UBCP,"United Bancorp, Inc.",12.4601,$74.47M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ubcp,
UBOH,"United Bancshares, Inc.",25,$81.79M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/uboh,
UBSI,"United Bankshares, Inc.",30.29,$3.93B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ubsi,
UCBI,"United Community Banks, Inc.",25.31,$2.19B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ucbi,
UCBIO,"United Community Banks, Inc.",26.99,n/a,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/ucbio,
UFCS,"United Fire Group, Inc",23.18,$580.22M,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ufcs,
